asset_id;intangible_asset_class;acquisition_capitalisation_date;initial_fair_value;cumulative_amortisation;impairment_amount;current_carrying_amount;Currency;original_accounting_life;remaining_economic_life;approach_det_carrying_amount;val_timestamp;internal_external_latest_val
221500001762;Unpatented software and technology;01/03/2019;7 158,69;-7 158,69;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001676;Unpatented software and technology;01/03/2019;3 449,31;-3 449,31;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001758;Unpatented software and technology;01/03/2019;3 259,74;-3 259,74;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001713;Unpatented software and technology;01/03/2019;8 458,97;-8 458,97;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001750;Unpatented software and technology;01/03/2019;6 625,44;-6 625,44;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001747;Unpatented software and technology;01/03/2019;6 625,44;-6 625,44;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001738;Unpatented software and technology;01/03/2019;1 639,84;-1 639,84;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001734;Unpatented software and technology;01/03/2019;247,45;-247,45;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001730;Unpatented software and technology;01/03/2019;9 574,96;-9 574,96;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001726;Unpatented software and technology;01/03/2019;388,66;-388,66;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001722;Unpatented software and technology;01/03/2019;3 015,88;-3 015,88;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001556;Unpatented software and technology;01/03/2019;6 794,17;-6 794,17;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001760;Unpatented software and technology;01/03/2019;3 757,04;-3 757,04;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001562;Unpatented software and technology;01/03/2019;29 414,06;-29 414,06;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000985;Unpatented software and technology;01/04/2019;19 876,34;-19 876,34;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001093;Unpatented software and technology;01/04/2019;6 726,10;-6 726,10;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500003275;Unpatented software and technology;01/04/2019;7 280,54;-7 280,54;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001783;Unpatented software and technology;01/04/2019;342 981,00;-342 981,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000986;Unpatented software and technology;01/04/2019;7 280,54;-7 280,54;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000982;Unpatented software and technology;01/04/2019;3 241,21;-3 241,21;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000596;Unpatented software and technology;01/05/2019;7 961,25;-7 961,25;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000561;Unpatented software and technology;01/05/2019;40 862,03;-40 862,03;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001187;Unpatented software and technology;01/05/2019;2 237,03;-2 237,03;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001184;Unpatented software and technology;01/05/2019;693,23;-693,23;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500000659;Unpatented software and technology;01/05/2019;487,89;-487,89;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
